x,sinx,cosx
-131,-0.754706,-0.656063
-130,-0.766041,-0.642792
-129,-0.777143,-0.629324
-128,-0.788008,-0.615666
-127,-0.798632,-0.601819
-126,-0.809014,-0.587789
-125,-0.819149,-0.573581
-124,-0.829035,-0.559197
-123,-0.838668,-0.544643
-122,-0.848045,-0.529923
-121,-0.857165,-0.515042
-120,-0.866023,-0.500004
-119,-0.874617,-0.484814
-118,-0.882945,-0.469476
-117,-0.891004,-0.453995
-116,-0.898792,-0.438375
-115,-0.906306,-0.422623
-114,-0.913544,-0.406741
-113,-0.920503,-0.390735
-112,-0.927182,-0.374611
-111,-0.933579,-0.358372
-110,-0.939691,-0.342024
-109,-0.945517,-0.325572
-108,-0.951055,-0.309021
-107,-0.956303,-0.292376
-106,-0.961261,-0.275642
-105,-0.965925,-0.258823
-104,-0.970295,-0.241926
-103,-0.974369,-0.224955
-102,-0.978147,-0.207916
-101,-0.981626,-0.190813
-100,-0.984807,-0.173652
-99,-0.987688,-0.156438
-98,-0.990268,-0.139177
-97,-0.992546,-0.121873
-96,-0.994521,-0.104532
-95,-0.996194,-0.0871596
-94,-0.997564,-0.0697603
-93,-0.998629,-0.0523397
-92,-0.999391,-0.0349032
-91,-0.999848,-0.0174561
-90,-1,-3.67321E-06
-89,-0.999848,0.0174488
-88,-0.999391,0.0348959
-87,-0.99863,0.0523324
-86,-0.997564,0.069753
-85,-0.996195,0.0871523
-84,-0.994522,0.104525
-83,-0.992547,0.121866
-82,-0.990269,0.13917
-81,-0.987689,0.156431
-80,-0.984808,0.173645
-79,-0.981628,0.190806
-78,-0.978148,0.207909
-77,-0.974371,0.224948
-76,-0.970296,0.241919
-75,-0.965927,0.258816
-74,-0.961263,0.275634
-73,-0.956306,0.292369
-72,-0.951057,0.309014
-71,-0.94552,0.325565
-70,-0.939694,0.342017
-69,-0.933581,0.358365
-68,-0.927185,0.374604
-67,-0.920506,0.390729
-66,-0.913547,0.406734
-65,-0.906309,0.422616
-64,-0.898795,0.438369
-63,-0.891008,0.453988
-62,-0.882949,0.469469
-61,-0.874621,0.484807
-60,-0.866027,0.499998
-59,-0.857169,0.515036
-58,-0.848049,0.529917
-57,-0.838672,0.544637
-56,-0.829039,0.559191
-55,-0.819153,0.573575
-54,-0.809018,0.587783
-53,-0.798637,0.601813
-52,-0.788012,0.61566
-51,-0.777147,0.629319
-50,-0.766046,0.642786
-49,-0.754711,0.656058
-48,-0.743146,0.669129
-47,-0.731355,0.681997
-46,-0.719341,0.694657
-45,-0.707108,0.707105
-44,-0.69466,0.719339
-43,-0.682,0.731353
-42,-0.669132,0.743144
-41,-0.65606,0.754708
-40,-0.642789,0.766043
-39,-0.629322,0.777145
-38,-0.615663,0.78801
-37,-0.601816,0.798635
-36,-0.587786,0.809016
-35,-0.573578,0.819151
-34,-0.559194,0.829037
-33,-0.54464,0.83867
-32,-0.52992,0.848047
-31,-0.515039,0.857167
-30,-0.500001,0.866025
-29,-0.484811,0.874619
-28,-0.469473,0.882947
-27,-0.453991,0.891006
-26,-0.438372,0.898794
-25,-0.422619,0.906307
-24,-0.406738,0.913545
-23,-0.390732,0.920504
-22,-0.374607,0.927184
-21,-0.358369,0.93358
-20,-0.342021,0.939692
-19,-0.325569,0.945518
-18,-0.309018,0.951056
-17,-0.292372,0.956305
-16,-0.275638,0.961262
-15,-0.25882,0.965926
-14,-0.241922,0.970296
-13,-0.224952,0.97437
-12,-0.207912,0.978147
-11,-0.190809,0.981627
-10,-0.173649,0.984808
-9,-0.156435,0.987688
-8,-0.139173,0.990268
-7,-0.12187,0.992546
-6,-0.104529,0.994522
-5,-0.0871559,0.996195
-4,-0.0697566,0.997564
-3,-0.0523361,0.99863
-2,-0.0348996,0.999391
-1,-0.0174524,0.999848
0,0,1
1,0.0174524,0.999848
2,0.0348996,0.999391
3,0.0523361,0.99863
4,0.0697566,0.997564
5,0.0871559,0.996195
6,0.104529,0.994522
7,0.12187,0.992546
8,0.139173,0.990268
9,0.156435,0.987688
10,0.173649,0.984808
11,0.190809,0.981627
12,0.207912,0.978147
13,0.224952,0.97437
14,0.241922,0.970296
15,0.25882,0.965926
16,0.275638,0.961262
17,0.292372,0.956305
18,0.309018,0.951056
19,0.325569,0.945518
20,0.342021,0.939692
21,0.358369,0.93358
22,0.374607,0.927184
23,0.390732,0.920504
24,0.406738,0.913545
25,0.422619,0.906307
26,0.438372,0.898794
27,0.453991,0.891006
28,0.469473,0.882947
29,0.484811,0.874619
30,0.500001,0.866025
31,0.515039,0.857167
32,0.52992,0.848047
33,0.54464,0.83867
34,0.559194,0.829037
35,0.573578,0.819151
36,0.587786,0.809016
37,0.601816,0.798635
38,0.615663,0.78801
39,0.629322,0.777145
40,0.642789,0.766043
41,0.65606,0.754708
42,0.669132,0.743144
43,0.682,0.731353
44,0.69466,0.719339
45,0.707108,0.707105
46,0.719341,0.694657
47,0.731355,0.681997
48,0.743146,0.669129
49,0.754711,0.656058
50,0.766046,0.642786
51,0.777147,0.629319
52,0.788012,0.61566
53,0.798637,0.601813
54,0.809018,0.587783
55,0.819153,0.573575
56,0.829039,0.559191
57,0.838672,0.544637
58,0.848049,0.529917
59,0.857169,0.515036
60,0.866027,0.499998
61,0.874621,0.484807
62,0.882949,0.469469
63,0.891008,0.453988
64,0.898795,0.438369
65,0.906309,0.422616
66,0.913547,0.406734
67,0.920506,0.390729
68,0.927185,0.374604
69,0.933581,0.358365
70,0.939694,0.342017
71,0.94552,0.325565
72,0.951057,0.309014
73,0.956306,0.292369
74,0.961263,0.275634
75,0.965927,0.258816
76,0.970296,0.241919
77,0.974371,0.224948
78,0.978148,0.207909
79,0.981628,0.190806
80,0.984808,0.173645
81,0.987689,0.156431
82,0.990269,0.13917
83,0.992547,0.121866
84,0.994522,0.104525
85,0.996195,0.0871523
86,0.997564,0.069753
87,0.99863,0.0523324
88,0.999391,0.0348959
89,0.999848,0.0174488
90,1,-3.67321E-06
91,0.999848,-0.0174561
92,0.999391,-0.0349032
93,0.998629,-0.0523397
94,0.997564,-0.0697603
95,0.996194,-0.0871596
96,0.994521,-0.104532
97,0.992546,-0.121873
98,0.990268,-0.139177
99,0.987688,-0.156438
100,0.984807,-0.173652
101,0.981626,-0.190813
102,0.978147,-0.207916
103,0.974369,-0.224955
104,0.970295,-0.241926
105,0.965925,-0.258823
106,0.961261,-0.275642
107,0.956303,-0.292376
108,0.951055,-0.309021
109,0.945517,-0.325572
110,0.939691,-0.342024
111,0.933579,-0.358372
112,0.927182,-0.374611
113,0.920503,-0.390735
114,0.913544,-0.406741
115,0.906306,-0.422623
116,0.898792,-0.438375
117,0.891004,-0.453995
118,0.882945,-0.469476
119,0.874617,-0.484814
120,0.866023,-0.500004
121,0.857165,-0.515042
122,0.848045,-0.529923
123,0.838668,-0.544643
124,0.829035,-0.559197
125,0.819149,-0.573581
126,0.809014,-0.587789
127,0.798632,-0.601819
128,0.788008,-0.615666
129,0.777143,-0.629324
130,0.766041,-0.642792
131,0.754706,-0.656063
132,0.743141,-0.669135
133,0.73135,-0.682002
134,0.719336,-0.694662
135,0.707103,-0.707111
136,0.694654,-0.719344
137,0.681994,-0.731358
138,0.669126,-0.743149
139,0.656055,-0.754713
140,0.642783,-0.766048
141,0.629316,-0.77715
142,0.615657,-0.788014
143,0.60181,-0.798639
144,0.58778,-0.80902
145,0.573572,-0.819155
146,0.559188,-0.829041
147,0.544634,-0.838674
148,0.529914,-0.848051
149,0.515033,-0.85717
150,0.499995,-0.866028
151,0.484804,-0.874623
152,0.469466,-0.882951
153,0.453985,-0.891009
154,0.438365,-0.898797
155,0.422613,-0.90631
156,0.406731,-0.913548
157,0.390725,-0.920507
158,0.374601,-0.927186
159,0.358362,-0.933583
160,0.342014,-0.939695
161,0.325562,-0.945521
162,0.309011,-0.951059
163,0.292365,-0.956307
164,0.275631,-0.961264
165,0.258813,-0.965928
166,0.241915,-0.970297
167,0.224944,-0.974372
168,0.207905,-0.978149
169,0.190802,-0.981628
170,0.173641,-0.984809
171,0.156428,-0.987689
172,0.139166,-0.990269
173,0.121862,-0.992547
174,0.104521,-0.994523
175,0.0871486,-0.996195
176,0.0697493,-0.997565
177,0.0523287,-0.99863
178,0.0348922,-0.999391
179,0.0174451,-0.999848
180,-7.34641E-06,-1
181,-0.0174598,-0.999848
182,-0.0349069,-0.999391
183,-0.0523434,-0.998629
184,-0.069764,-0.997564
185,-0.0871633,-0.996194
186,-0.104536,-0.994521
